City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,Taikang,46.8333,124.4167,13.46,83,22,7.92,CN,2022-02-09 02:27:15
113,Igrim,63.1906,64.4162,-3.32,99,71,5.32,RU,2022-02-09 02:27:15
114,Kamina,-8.7386,24.9906,63.93,94,100,1.66,CD,2022-02-09 02:27:15
115,Dikson,73.5069,80.5464,2.71,93,100,22.7,RU,2022-02-09 02:27:16
116,Whitianga,-36.8333,175.7,70.59,96,100,8.12,NZ,2022-02-09 02:27:16
117,Pangnirtung,66.1451,-65.7125,-7.47,97,100,4.36,CA,2022-02-09 02:27:16
118,Vestmannaeyjar,63.4427,-20.2734,35.47,71,92,7.9,IS,2022-02-09 02:27:17
119,Tucupita,9.0622,-62.051,70.86,97,85,3.18,VE,2022-02-09 02:27:17
120,Ahipara,-35.1667,173.1667,81.48,63,8,12.93,NZ,2022-02-09 02:27:17
121,Weston,26.1004,-80.3998,68.02,86,100,8.05,US,2022-02-09 02:27:18
122,Cabo San Lucas,22.8909,-109.9124,70.9,67,0,4.61,MX,2022-02-09 02:23:32
123,Pevek,69.7008,170.3133,-29.78,100,77,4.05,RU,2022-02-09 02:27:18
124,Quang Ngai,15.1167,108.8,77.5,83,82,2.68,VN,2022-02-09 02:25:54
125,Mahebourg,-20.4081,57.7,75.49,88,40,1.14,MU,2022-02-09 02:27:18
126,Ayr,55.4627,-4.6339,45.48,87,75,20.71,GB,2022-02-09 02:27:19
127,Lebu,-37.6167,-73.65,59.04,79,6,18.28,CL,2022-02-09 02:27:19
128,Stokmarknes,68.5646,14.9108,35.49,84,100,14.5,NO,2022-02-09 02:27:19
129,Tiksi,71.6872,128.8694,-18.67,98,55,9.71,RU,2022-02-09 02:27:20
130,Bailieborough,53.9167,-6.9667,43.43,90,89,14.99,IE,2022-02-09 02:27:20
131,Charagua,-19.8,-63.2167,72.61,43,95,1.88,BO,2022-02-09 02:27:20
132,San Francisco,37.7749,-122.4194,65.82,57,0,5.75,US,2022-02-09 02:23:39
