City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Pacific Grove,US,36.6177,-121.9166,76.3,41,46,1.01,scattered clouds
125,Nandura,IN,20.8333,76.45,64.02,40,21,3.38,few clouds
126,Oranjemund,NA,-28.55,16.4333,64.11,87,0,8.14,clear sky
127,Margate,GB,51.3813,1.3862,48.96,86,94,3.0,overcast clouds
128,Along,IN,28.1667,94.7667,52.16,96,99,1.81,overcast clouds
129,East London,ZA,-33.0153,27.9116,68.34,77,0,5.41,clear sky
130,Zhigansk,RU,66.7697,123.3711,-33.47,97,98,8.41,overcast clouds
131,Chacabuco,AR,-34.6417,-60.4739,69.67,41,0,6.15,clear sky
132,Placido De Castro,BR,-10.3353,-67.1856,76.05,86,70,4.65,broken clouds
133,Uruburetama,BR,-3.625,-39.5083,73.96,85,64,2.19,broken clouds
134,Vallenar,CL,-28.5708,-70.7581,70.3,60,0,5.64,clear sky
135,Portobelo,PA,9.55,-79.65,79.86,88,58,8.52,broken clouds
136,Arraial Do Cabo,BR,-22.9661,-42.0278,70.36,89,100,5.88,overcast clouds
137,Aqtobe,KZ,50.2797,57.2072,10.49,85,20,4.47,few clouds
138,Mitsamiouli,KM,-11.3847,43.2844,81.23,75,84,11.92,broken clouds
139,Lahat,ID,-3.8,103.5333,71.76,82,100,1.88,overcast clouds
140,Port Blair,IN,11.6667,92.75,77.25,77,59,11.03,broken clouds
141,Arrecife,ES,28.963,-13.5477,71.58,43,0,5.75,clear sky
142,Faanui,PF,-16.4833,-151.75,81.28,76,37,14.05,light rain
143,Sao Filipe,CV,14.8961,-24.4956,76.35,60,72,3.11,broken clouds
144,Saint-Leu,RE,-21.15,55.2833,74.26,79,61,3.24,broken clouds
145,Kahului,US,20.8947,-156.47,83.46,72,23,7.0,few clouds
146,Avarua,CK,-21.2078,-159.775,82.45,78,75,13.8,broken clouds
147,Geraldton,AU,-28.7667,114.6,70.21,64,0,9.22,clear sky
148,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,56,0,9.22,clear sky
149,Tazmalt,DZ,36.3868,4.3989,47.25,68,0,4.85,clear sky
150,Port Macquarie,AU,-31.4333,152.9167,82.89,47,0,2.53,clear sky
151,Bara,NG,10.3744,10.7288,70.23,11,33,10.38,scattered clouds
152,Bethel,US,41.3712,-73.414,37.51,70,17,4.72,few clouds
153,San Felipe,VE,10.3399,-68.7425,68.97,92,82,3.4,broken clouds
154,Vanimo,PG,-2.6741,141.3028,82.42,77,92,1.32,overcast clouds
155,Husavik,IS,66.0449,-17.3389,16.93,67,98,13.62,overcast clouds
156,Namibe,AO,-15.1961,12.1522,72.57,82,99,7.78,overcast clouds
157,Grants,US,35.1473,-107.8514,50.23,17,0,6.91,clear sky
158,Tari,NG,12.4086,4.4914,73.76,12,1,11.79,clear sky
159,Nam Som,TH,17.7704,102.1895,74.41,67,54,3.22,broken clouds
160,Kitgum,UG,3.2783,32.8867,74.82,33,98,3.85,overcast clouds
161,Ravar,IR,31.2656,56.8055,47.86,26,0,1.81,clear sky
162,Alofi,NU,-19.0595,-169.9187,80.78,75,55,10.71,broken clouds
163,Myitkyina,MM,25.3833,97.4,50.9,75,9,2.42,clear sky
164,Dubna,RU,56.7333,37.1667,21.0,97,92,5.41,overcast clouds
165,Guerrero Negro,MX,27.9769,-114.0611,69.04,35,20,10.6,few clouds
166,Half Moon Bay,US,37.4636,-122.4286,76.3,30,0,17.27,clear sky
167,Hasaki,JP,35.7333,140.8333,39.6,76,100,15.1,overcast clouds
168,Namwala,ZM,-15.7504,26.4384,65.05,97,95,2.8,overcast clouds
169,George,ZA,-33.963,22.4617,67.84,77,42,4.18,scattered clouds
170,Chokurdakh,RU,70.6333,147.9167,-25.6,99,95,11.25,overcast clouds
171,Luanda,AO,-8.8368,13.2343,75.83,82,77,6.2,broken clouds
172,Avera,US,33.194,-82.5271,54.54,50,0,5.28,clear sky
173,Nabire,ID,-3.3667,135.4833,77.63,89,100,1.3,overcast clouds
174,Olga,RU,43.7444,135.2892,21.87,68,65,3.06,broken clouds
175,Rio Gallegos,AR,-51.6226,-69.2181,59.05,20,40,23.02,scattered clouds
176,Vila Velha,BR,-20.3297,-40.2925,73.94,86,90,7.0,overcast clouds
177,Makakilo City,US,21.3469,-158.0858,79.68,58,17,7.27,few clouds
178,Jalu,LY,29.0331,21.5482,50.5,54,22,11.18,few clouds
179,Kaduna,NG,10.5222,7.4383,69.55,10,7,9.71,clear sky
180,Daru,PG,-9.0763,143.2092,82.6,81,90,7.02,light rain
181,Praia Da Vitoria,PT,38.7333,-27.0667,55.76,85,3,17.0,clear sky
182,Bangangte,CM,5.1409,10.5198,63.66,69,59,3.78,broken clouds
183,Inverness,GB,57.4791,-4.224,37.22,90,75,14.97,broken clouds
184,Sao Jose De Ribamar,BR,-2.5619,-44.0542,79.23,81,50,10.85,scattered clouds
185,Pinellas Park,US,27.8428,-82.6995,59.05,66,0,9.22,clear sky
186,Egvekinot,RU,66.3167,-179.1667,-21.1,88,29,7.29,scattered clouds
187,Panguna,PG,-6.3164,155.4848,79.65,73,68,2.33,light rain
188,Wainwright,CA,52.839,-110.8572,34.9,90,92,12.93,overcast clouds
189,Quthing,LS,-30.4,27.7003,64.83,53,32,2.53,scattered clouds
190,Krasnoselkup,RU,65.7,82.4667,-12.14,87,46,9.4,scattered clouds
191,Aklavik,CA,68.2191,-135.0107,-18.71,95,100,9.24,overcast clouds
192,Salinopolis,BR,-0.6136,-47.3561,77.58,87,73,6.44,broken clouds
193,Laguna,US,38.421,-121.4238,78.66,41,0,4.61,clear sky
194,Cayenne,GF,4.9333,-52.3333,76.08,91,75,1.01,broken clouds
195,Bandarbeyla,SO,9.4942,50.8122,73.36,68,82,15.77,broken clouds
196,Great Bend,US,38.3645,-98.7648,56.03,26,15,6.38,few clouds
197,Phan Thiet,VN,10.9333,108.1,75.69,76,90,7.52,overcast clouds
198,Pevek,RU,69.7008,170.3133,-31.95,99,100,5.73,overcast clouds
199,Non Sang,TH,16.8687,102.5664,76.89,62,28,3.58,scattered clouds
200,Bredasdorp,ZA,-34.5322,20.0403,64.27,85,84,3.94,light rain
201,Malakal,SS,9.5334,31.6605,80.55,21,4,8.52,clear sky
202,Notre-Dame-Du-Lac,CA,47.6136,-68.7964,28.26,95,100,4.43,overcast clouds
203,Saldanha,ZA,-33.0117,17.9442,64.42,91,2,1.92,clear sky
204,Ancud,CL,-41.8697,-73.8203,60.33,79,100,7.74,overcast clouds
205,Coari,BR,-4.085,-63.1414,72.5,97,95,1.39,overcast clouds
206,Shakhtinsk,KZ,49.71,72.5872,-10.64,100,98,3.04,overcast clouds
207,Taoudenni,ML,22.6783,-3.9836,65.64,19,0,13.24,clear sky
208,Aginskoye,RU,51.1,114.53,-7.24,99,91,3.91,overcast clouds
209,Bilibino,RU,68.0546,166.4372,-33.83,100,88,0.67,overcast clouds
210,Lahij,YE,13.1667,44.5833,68.04,82,16,7.09,few clouds
211,Ha Giang,VN,22.8333,104.9833,59.09,98,100,2.39,overcast clouds
212,Dukat,RU,62.55,155.55,-15.7,76,64,3.76,broken clouds
213,Harper,LR,4.375,-7.7169,78.91,87,68,8.5,broken clouds
214,Kenora,CA,49.8167,-94.4337,12.18,72,100,13.0,overcast clouds
215,San Quintin,MX,30.4833,-115.95,67.44,38,15,5.01,few clouds
216,Baleshwar,IN,21.4942,86.9317,64.89,80,1,5.97,clear sky
217,Lebu,CL,-37.6167,-73.65,59.99,78,2,21.34,clear sky
218,Mildura,AU,-34.2,142.15,68.07,59,49,15.28,scattered clouds
219,Dicabisagan,PH,17.0818,122.4157,76.73,80,93,3.58,overcast clouds
220,San Rafael,AR,-34.6177,-68.3301,84.92,20,3,15.21,clear sky
221,Hovin,NO,63.1055,10.225,34.95,82,100,16.89,snow
222,Tasiilaq,GL,65.6145,-37.6368,12.36,55,86,9.73,overcast clouds
223,Brookhaven,US,31.5791,-90.4407,56.35,66,6,4.21,clear sky
224,Kiama,AU,-34.6833,150.8667,89.26,53,10,5.99,clear sky
225,Kashan,IR,33.9831,51.4364,48.06,26,5,1.1,clear sky
226,Salalah,OM,17.0151,54.0924,65.59,30,1,9.84,clear sky
227,Warrnambool,AU,-38.3833,142.4833,68.81,58,81,12.84,broken clouds
228,Esperance,AU,-33.8667,121.9,67.6,69,14,12.1,few clouds
229,Nuristan,AF,35.3,70.8333,-0.44,52,9,12.08,clear sky
230,Okhotsk,RU,59.3833,143.3,9.05,78,100,9.64,overcast clouds
231,Camana,PE,-16.6228,-72.7111,70.72,76,19,6.15,few clouds
232,Atalaia,BR,-9.5019,-36.0228,75.94,83,39,5.39,scattered clouds
233,Caconda,AO,-13.7333,15.0667,56.25,92,100,1.68,overcast clouds
