City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
264,San Patricio,US,70.21,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
265,Mana,GF,76.84,scattered clouds,5.6592,-53.7767,LE SAMANA
266,Nanga Eboko,CM,66.15,scattered clouds,4.6833,12.3667,Motel Papi Palace
268,Belmopan,BZ,76.3,scattered clouds,17.25,-88.7667,Villa San Juan
270,Pasni,PK,69.46,clear sky,25.2631,63.471,Kashmiri Hotal
271,Cabedelo,BR,79.63,broken clouds,-6.9811,-34.8339,Hotel Pigalle
275,Isangel,VU,77.61,heavy intensity rain,-19.55,169.2667,Tanna Lodge
282,Carnarvon,AU,79.74,clear sky,-24.8667,113.6333,Hospitality Carnarvon
285,Sao Joao Da Barra,BR,69.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
286,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
287,Ukiah,US,76.66,overcast clouds,39.1502,-123.2078,Hampton Inn Ukiah
290,Pisco,PE,72.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
291,Rio Cuarto,AR,72.68,clear sky,-33.1307,-64.3499,Grand Hotel Río Cuarto
295,Odienne,CI,75.65,clear sky,9.51,-7.5692,Oustaz Vame DIAKITE
297,Constitucion,CL,60.01,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
301,Sa Kaeo,TH,78.39,few clouds,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
302,Mahebourg,MU,74.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
303,Formosa,AR,77.63,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
304,Sechura,PE,75.47,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
305,Hit,IQ,61.39,broken clouds,33.6416,42.8251,صالون زيرو
308,Zuenoula,CI,75.78,clear sky,7.4292,-6.0431,Hotel Prestige Zla
309,Sumbe,AO,75.38,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
310,Tuatapere,NZ,73.81,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
311,Mandera,KE,77.36,broken clouds,3.9366,41.867,Mwalimu Guest mandera
314,Porto Novo,BJ,77.76,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
318,Palu,ID,76.66,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
327,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,K2 Lembeh
328,Magalia,US,76.55,few clouds,39.8121,-121.5783,Paradise Pines RV Park - Price Match
330,Monrovia,LR,79.07,clear sky,6.3005,-10.7969,Sunset Inn
332,Touros,BR,79.86,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
334,Sangre Grande,TT,77.05,scattered clouds,10.5835,-61.1177,Lotus drive
335,Dalby,AU,77.97,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
340,The Valley,AI,78.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
345,Bengkulu,ID,76.46,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
346,Barreirinha,BR,75.16,light rain,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
350,Hambantota,LK,74.61,light rain,6.1241,81.1185,Bungalow 63
351,San Benito,US,64.65,scattered clouds,36.6166,-121.0844,
353,Viramgam,IN,62.83,clear sky,23.1225,72.0484,'Hotel Asopalav & Guest House-honest
354,Benjamin Aceval,PY,77.7,scattered clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
355,Ntcheu,MW,64.42,overcast clouds,-14.8203,34.6359,Dear Executive Lodge
357,Mohgaon,IN,62.28,scattered clouds,21.65,78.7167,pushpa computer & photocopy
358,Pontal,BR,68.63,broken clouds,-21.0225,-48.0372,Hotel Conforto
360,Green Valley,US,74.52,clear sky,31.8543,-110.9937,Best Western Green Valley Inn
361,Atar,MR,69.84,clear sky,20.5169,-13.0499,Oumou Elghoura
364,Dickinson,US,69.17,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
370,Gayeri,BF,75.38,clear sky,12.6497,0.4931,
377,Pathein,MM,60.19,clear sky,16.7833,94.7333,New Pammawaddy Hotel
381,Gunjur,GM,75.9,scattered clouds,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
382,Gilbues,BR,78.3,overcast clouds,-9.8317,-45.3439,Hotel Camapuã
383,Caravelas,BR,77.74,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
385,Waipawa,NZ,72.45,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
386,Dogondoutchi,NE,72.73,clear sky,13.6393,4.0287,Hôtel Alheri Maison Alheri
389,Lamu,KE,79.02,broken clouds,-2.2717,40.902,Lamu House
398,Marawi,PH,66.65,overcast clouds,7.9986,124.2928,Derogongan Residence
405,Machilipatnam,IN,71.08,broken clouds,16.1667,81.1333,R&B Bungalow
407,Carutapera,BR,75.7,broken clouds,-1.195,-46.02,Lidera
408,Omboue,GA,78.71,overcast clouds,-1.5746,9.2618,Hotel Olako
409,Comodoro Rivadavia,AR,76.86,clear sky,-45.8667,-67.5,Austral Hotel
411,Bosaso,SO,71.83,broken clouds,11.2842,49.1816,Red Sea Hotel
412,Tiznit,MA,60.71,few clouds,29.5833,-9.5,
413,Magole,TZ,69.33,light rain,-6.3667,37.3667,Juma lubelwa
420,Knysna,ZA,69.4,scattered clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
424,Marsh Harbour,BS,72.21,broken clouds,26.5412,-77.0636,Abaco Beach Resort
427,Sinjai,ID,74.77,moderate rain,-5.1241,120.253,Wisma Sandika
431,Gurupi,BR,72.61,overcast clouds,-11.7292,-49.0686,Via Norte Hotel
435,Sibolga,ID,73.15,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
440,Henties Bay,,67.86,clear sky,-22.116,14.2845,Fishermans Guest House
443,Mozarlandia,BR,71.33,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
444,Sao Raimundo Das Mangabeiras,BR,75.45,broken clouds,-7.0219,-45.4811,Hotel Tropical
445,Eldorado,BR,76.08,clear sky,-23.7869,-54.2836,Villa Verde Hotel
446,Maneadero,MX,70.11,clear sky,31.7167,-116.5667,Casa De Thompson
449,Mattawa,US,64.4,few clouds,46.7379,-119.9028,Sun & Sand Mobile Home Park
453,Mandurah,AU,76.14,clear sky,-32.55,115.7,Atrium Hotel Mandurah
456,Chon Daen,TH,79.2,scattered clouds,16.1895,100.8596,ซับขลุง
458,Port Shepstone,ZA,75.34,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
